Category: All categories,
,
Country,Cryptocurrency: (1/1/04 - 9/6/25)
St. Helena,100
Benin,96
Nigeria,95
Laos,71
Gibraltar,69
Burkina Faso,67
Iran,64
Togo,63
Cayman Islands,58
Andorra,55
Cyprus,52
St. Martin,51
Slovenia,51
Singapore,49
Somalia,49
Cameroon,48
Kosovo,48
Netherlands,47
Jersey,44
Cambodia,43
British Virgin Islands,41
Liechtenstein,41
Caribbean Netherlands,41
Cuba,40
Lesotho,40
Côte d’Ivoire,39
Isle of Man,39
Myanmar (Burma),39
Malta,38
United Arab Emirates,37
Bhutan,37
North Macedonia,37
Guernsey,37
Eswatini,36
Luxembourg,36
Curaçao,36
Afghanistan,36
St. Barthélemy,35
Palau,35
Falkland Islands (Islas Malvinas),35
Bermuda,34
Pakistan,34
Maldives,34
Madagascar,33
Australia,33
Namibia,33
Ghana,33
Switzerland,33
Botswana,32
Belgium,32
Sint Maarten,32
Burundi,32
Cook Islands,32
Marshall Islands,31
Bahamas,31
French Polynesia,31
U.S. Virgin Islands,30
Ethiopia,30
Antigua & Barbuda,30
Estonia,29
Georgia,29
Kenya,29
Philippines,28
Canada,28
Croatia,28
Latvia,27
South Africa,27
Albania,27
Central African Republic,27
Ukraine,27
Ireland,26
Portugal,26
New Zealand,26
Sri Lanka,25
Suriname,25
Montserrat,25
Lebanon,25
Lithuania,25
Turks & Caicos Islands,25
Faroe Islands,25
Bulgaria,25
Trinidad & Tobago,25
Mauritius,25
United Kingdom,25
Hong Kong,25
Norway,24
Barbados,24
Montenegro,24
Western Sahara,24
St. Lucia,24
Romania,24
Uganda,24
Moldova,24
Svalbard & Jan Mayen,24
Rwanda,23
Armenia,23
Aruba,23
Czechia,23
Niger,23
Papua New Guinea,23
San Marino,23
Austria,22
Guam,22
St. Kitts & Nevis,22
Nepal,22
Bahrain,22
Haiti,22
United States,22
Belarus,22
Iceland,22
Congo - Brazzaville,22
Mongolia,22
Equatorial Guinea,22
Seychelles,21
New Caledonia,21
Uzbekistan,21
Türkiye,21
Åland Islands,21
Greece,21
Kyrgyzstan,21
Russia,21
Zimbabwe,21
France,21
Eritrea,20
Slovakia,20
Serbia,20
Qatar,20
Vanuatu,20
Dominica,19
India,19
Venezuela,19
Malaysia,19
Gambia,19
Angola,19
South Korea,18
American Samoa,18
Puerto Rico,18
Spain,18
Grenada,18
Poland,18
Djibouti,18
Jamaica,18
Bangladesh,18
Morocco,17
Gabon,17
Kazakhstan,17
Northern Mariana Islands,17
Germany,17
Bosnia & Herzegovina,17
Kiribati,17
Argentina,17
Indonesia,17
Senegal,16
French Guiana,16
Panama,16
Chad,16
Cape Verde,15
Israel,15
Malawi,15
Samoa,15
Finland,15
Zambia,15
Italy,15
Tajikistan,15
St. Vincent & Grenadines,15
Azerbaijan,15
Belize,15
Brunei,14
South Sudan,14
Hungary,14
Tanzania,14
São Tomé & Príncipe,14
Sweden,14
Sierra Leone,14
Réunion,14
Greenland,14
Congo - Kinshasa,14
Paraguay,14
Guyana,14
El Salvador,13
Solomon Islands,13
Denmark,13
Fiji,13
Kuwait,13
Martinique,13
Guadeloupe,13
Dominican Republic,13
Brazil,13
Liberia,13
Guinea,13
Tunisia,12
Oman,12
Turkmenistan,12
Thailand,12
St. Pierre & Miquelon,11
Uruguay,11
Mali,11
Mauritania,11
Costa Rica,11
Colombia,11
Tonga,11
Mayotte,11
Macao,11
Chile,10
Vietnam,10
Palestine,10
Micronesia,10
Anguilla,9
Peru,9
Mozambique,9
Ecuador,9
Honduras,9
Jordan,9
Comoros,8
Bolivia,8
Algeria,8
Taiwan,8
Libya,8
Nicaragua,8
Timor-Leste,8
Iraq,8
Guinea-Bissau,8
Monaco,7
Guatemala,7
Mexico,7
Saudi Arabia,7
Syria,5
Egypt,5
China,5
Yemen,5
Sudan,3
Japan,3
Cocos (Keeling) Islands,
U.S. Outlying Islands,
Antarctica,
Tuvalu,
Vatican City,
French Southern Territories,
Tokelau,
Norfolk Island,
Christmas Island,
Niue,
Nauru,
Wallis & Futuna,
British Indian Ocean Territory,
North Korea,
South Georgia & South Sandwich Islands,
Pitcairn Islands,
Bouvet Island,
Heard & McDonald Islands,
